,0,1,2,3,4,5,6,7,8,9
0,0.6,0.75,0.402,0.414,0.588,0.492,0.558,0.711,0.752,0.636
1,0.75,0.864,0.489,0.286,0.507,0.562,0.882,0.694,0.673,0.542
2,0.737,0.789,0.324,0.402,0.629,0.634,0.72,0.825,0.794,0.734
3,0.801,0.833,0.468,0.456,0.598,0.581,0.79,0.726,0.761,0.731
4,0.794,0.822,0.489,0.416,0.714,0.523,0.868,0.717,0.742,0.763
5,0.733,0.827,0.647,0.411,0.532,0.628,0.842,0.729,0.78,0.725
6,0.755,0.631,0.62,0.465,0.633,0.606,0.721,0.704,0.726,0.811
7,0.75,0.738,0.518,0.471,0.69,0.602,0.735,0.744,0.664,0.854
8,0.657,0.707,0.597,0.587,0.536,0.557,0.778,0.652,0.812,0.789
9,0.758,0.795,0.519,0.476,0.705,0.546,0.77,0.732,0.784,0.795
10,0.753,0.813,0.617,0.46,0.667,0.577,0.726,0.671,0.766,0.72
11,0.769,0.769,0.625,0.479,0.586,0.624,0.728,0.725,0.81,0.764
12,0.81,0.803,0.484,0.547,0.579,0.511,0.695,0.802,0.782,0.772
13,0.792,0.772,0.489,0.49,0.607,0.624,0.726,0.756,0.803,0.774
14,0.729,0.823,0.595,0.524,0.632,0.531,0.734,0.769,0.74,0.742
15,0.719,0.802,0.585,0.42,0.637,0.57,0.766,0.691,0.813,0.781
16,0.713,0.789,0.602,0.456,0.66,0.586,0.729,0.741,0.818,0.808
17,0.761,0.803,0.626,0.501,0.57,0.582,0.767,0.712,0.726,0.8
18,0.761,0.803,0.573,0.427,0.594,0.612,0.735,0.732,0.758,0.807
19,0.765,0.831,0.556,0.377,0.619,0.589,0.799,0.746,0.774,0.756
20,0.743,0.744,0.605,0.522,0.621,0.607,0.688,0.688,0.719,0.794
21,0.729,0.792,0.579,0.39,0.652,0.598,0.833,0.726,0.763,0.723
22,0.727,0.789,0.593,0.383,0.603,0.541,0.718,0.745,0.809,0.778
23,0.642,0.766,0.598,0.427,0.621,0.682,0.748,0.658,0.795,0.811
24,0.735,0.817,0.5,0.408,0.705,0.579,0.754,0.772,0.773,0.778
25,0.728,0.84,0.622,0.402,0.597,0.52,0.764,0.797,0.82,0.789
26,0.651,0.774,0.61,0.46,0.629,0.58,0.745,0.763,0.814,0.792
27,0.728,0.732,0.508,0.561,0.693,0.531,0.74,0.751,0.831,0.759
28,0.737,0.847,0.584,0.478,0.594,0.593,0.765,0.753,0.752,0.787
29,0.696,0.764,0.609,0.413,0.581,0.648,0.779,0.73,0.798,0.823
30,0.743,0.853,0.581,0.395,0.602,0.554,0.772,0.798,0.801,0.753
31,0.739,0.832,0.554,0.416,0.591,0.69,0.671,0.719,0.799,0.705
32,0.734,0.793,0.541,0.426,0.615,0.662,0.809,0.679,0.737,0.769
33,0.742,0.831,0.574,0.468,0.545,0.582,0.792,0.761,0.78,0.791
34,0.729,0.766,0.571,0.403,0.585,0.623,0.773,0.776,0.837,0.764
35,0.72,0.81,0.581,0.464,0.611,0.6,0.812,0.726,0.785,0.78
36,0.726,0.845,0.568,0.526,0.658,0.575,0.716,0.759,0.751,0.793
37,0.767,0.828,0.586,0.44,0.668,0.597,0.702,0.752,0.771,0.764
38,0.705,0.67,0.518,0.467,0.68,0.657,0.668,0.688,0.736,0.84
39,0.787,0.779,0.577,0.435,0.606,0.572,0.633,0.772,0.815,0.793
40,0.711,0.75,0.604,0.456,0.652,0.614,0.761,0.7,0.828,0.83
41,0.682,0.787,0.565,0.462,0.683,0.576,0.799,0.76,0.744,0.833
42,0.765,0.806,0.543,0.453,0.694,0.559,0.741,0.775,0.762,0.805
43,0.729,0.804,0.517,0.449,0.688,0.606,0.756,0.793,0.788,0.795
44,0.754,0.789,0.584,0.402,0.674,0.627,0.769,0.739,0.816,0.773
45,0.749,0.846,0.558,0.437,0.636,0.56,0.722,0.762,0.781,0.772
46,0.752,0.745,0.565,0.475,0.511,0.653,0.763,0.739,0.734,0.813
47,0.653,0.749,0.652,0.493,0.655,0.599,0.732,0.699,0.861,0.798
48,0.737,0.763,0.624,0.476,0.536,0.599,0.704,0.745,0.787,0.86
49,0.732,0.802,0.53,0.436,0.677,0.634,0.681,0.729,0.829,0.813
