,acc,loss
0,0.48586,0.08992844148874282
1,0.62424,0.06688644209384918
2,0.6878,0.05606663137435913
3,0.73644,0.047423097439408306
4,0.77912,0.03997031501971185
5,0.81502,0.03338969008274376
6,0.84846,0.027430226358026267
7,0.87516,0.02233375565480441
8,0.89822,0.01815279332263395
9,0.91556,0.015215794192459435
10,0.92806,0.012950054007996805
11,0.93856,0.011137219566118437
12,0.9456,0.009905883174270857
13,0.95158,0.008694648158093914
14,0.9563,0.008029866677367827
15,0.9592,0.007442267666349653
16,0.96304,0.006774418667110294
17,0.96506,0.006426866009368969
18,0.9654,0.006498182817298075
19,0.96882,0.005814807924098113
20,0.9708,0.005542033163704218
21,0.97274,0.005235755873972339
22,0.97188,0.00535011538578503
23,0.97332,0.005107469346064973
24,0.97326,0.005021264890348066
25,0.9754,0.004745529559453789
26,0.97798,0.0044142778615372524
27,0.97744,0.0043373845890759275
28,0.97696,0.004530375266549018
29,0.9787,0.004149613474711177
30,0.97822,0.004331932412461151
31,0.9799,0.0041594879802692684
32,0.98146,0.003684311398198165
33,0.98002,0.0039467388308719095
34,0.9821,0.003759911730052272
35,0.98198,0.003743556295379931
36,0.98206,0.0036676434141530035
37,0.98316,0.003655757169460503
38,0.9827,0.003539042466752219
39,0.98328,0.003398622076277052
40,0.98536,0.0029671704093669252
41,0.98274,0.003486964244561059
42,0.98318,0.003411850998225368
43,0.98472,0.00313709494857736
44,0.9856,0.00294630462688064
45,0.98432,0.003293772517745697
46,0.9866,0.0027929331237561486
47,0.98556,0.0029813316441622316
48,0.98522,0.002965492955674922
49,0.98716,0.002771679084292836
