,0,1,2,3,4,5,6,7,8,9
0,0.572,0.69,0.236,0.215,0.481,0.721,0.746,0.659,0.769,0.676
1,0.651,0.76,0.548,0.309,0.586,0.578,0.726,0.632,0.834,0.749
2,0.745,0.796,0.542,0.351,0.735,0.551,0.778,0.619,0.77,0.659
3,0.708,0.809,0.475,0.411,0.683,0.605,0.808,0.757,0.773,0.815
4,0.7,0.747,0.493,0.541,0.651,0.675,0.654,0.698,0.827,0.831
5,0.726,0.757,0.566,0.438,0.565,0.723,0.697,0.706,0.704,0.856
6,0.708,0.874,0.491,0.482,0.607,0.708,0.775,0.698,0.829,0.719
7,0.82,0.797,0.519,0.481,0.571,0.671,0.663,0.717,0.785,0.745
8,0.715,0.753,0.533,0.469,0.648,0.61,0.764,0.703,0.846,0.802
9,0.648,0.799,0.607,0.418,0.73,0.576,0.759,0.749,0.757,0.752
10,0.732,0.804,0.51,0.431,0.715,0.633,0.74,0.748,0.754,0.799
11,0.736,0.8,0.423,0.516,0.652,0.523,0.738,0.79,0.821,0.807
12,0.782,0.835,0.539,0.45,0.626,0.564,0.714,0.781,0.72,0.807
13,0.724,0.798,0.569,0.505,0.601,0.547,0.708,0.781,0.811,0.784
14,0.753,0.786,0.529,0.426,0.625,0.63,0.741,0.731,0.812,0.814
15,0.672,0.746,0.582,0.536,0.611,0.521,0.808,0.691,0.808,0.753
16,0.722,0.794,0.607,0.402,0.728,0.537,0.76,0.731,0.781,0.727
17,0.667,0.844,0.577,0.41,0.637,0.579,0.774,0.754,0.787,0.777
18,0.748,0.748,0.532,0.39,0.647,0.641,0.717,0.77,0.797,0.815
19,0.651,0.772,0.632,0.49,0.643,0.55,0.62,0.719,0.854,0.772
20,0.714,0.814,0.593,0.497,0.685,0.541,0.701,0.717,0.767,0.783
21,0.714,0.743,0.488,0.444,0.703,0.519,0.78,0.746,0.826,0.822
22,0.675,0.841,0.556,0.419,0.623,0.601,0.772,0.684,0.863,0.752
23,0.76,0.822,0.507,0.458,0.631,0.627,0.779,0.753,0.734,0.767
24,0.698,0.814,0.557,0.376,0.668,0.58,0.753,0.788,0.824,0.785
25,0.717,0.792,0.556,0.421,0.628,0.532,0.696,0.748,0.81,0.84
26,0.758,0.792,0.567,0.444,0.683,0.501,0.806,0.694,0.807,0.79
27,0.682,0.782,0.595,0.387,0.702,0.613,0.716,0.705,0.82,0.809
28,0.762,0.821,0.573,0.391,0.597,0.55,0.79,0.698,0.754,0.796
29,0.677,0.785,0.542,0.481,0.689,0.597,0.708,0.726,0.819,0.786
30,0.676,0.817,0.577,0.447,0.714,0.596,0.703,0.662,0.777,0.761
31,0.777,0.801,0.576,0.479,0.636,0.502,0.784,0.669,0.816,0.8
32,0.717,0.813,0.545,0.489,0.717,0.539,0.752,0.688,0.833,0.725
33,0.705,0.812,0.55,0.499,0.731,0.521,0.746,0.61,0.812,0.786
34,0.745,0.768,0.539,0.455,0.663,0.621,0.747,0.747,0.775,0.814
35,0.754,0.821,0.496,0.421,0.635,0.592,0.688,0.755,0.784,0.797
36,0.785,0.798,0.5,0.46,0.708,0.61,0.678,0.756,0.783,0.742
37,0.693,0.839,0.515,0.387,0.644,0.569,0.815,0.755,0.806,0.74
38,0.727,0.848,0.578,0.429,0.528,0.619,0.778,0.753,0.793,0.741
39,0.727,0.752,0.641,0.463,0.618,0.576,0.656,0.728,0.788,0.789
40,0.705,0.762,0.483,0.473,0.73,0.616,0.724,0.702,0.811,0.805
41,0.718,0.808,0.6,0.475,0.669,0.53,0.768,0.708,0.775,0.788
42,0.715,0.746,0.57,0.551,0.701,0.556,0.709,0.692,0.79,0.799
43,0.703,0.827,0.552,0.481,0.646,0.585,0.692,0.763,0.847,0.745
44,0.754,0.757,0.543,0.378,0.71,0.583,0.744,0.768,0.831,0.829
45,0.744,0.752,0.516,0.409,0.653,0.563,0.818,0.755,0.768,0.864
46,0.73,0.861,0.517,0.528,0.594,0.546,0.695,0.798,0.746,0.8
47,0.759,0.773,0.565,0.498,0.679,0.553,0.739,0.766,0.694,0.788
48,0.713,0.829,0.584,0.549,0.682,0.478,0.733,0.751,0.77,0.77
49,0.741,0.835,0.562,0.399,0.595,0.636,0.788,0.757,0.748,0.764
