,0,1,2,3,4,5,6,7,8,9
0,0.118,0.403,0.019,0.999,0.0,0.0,0.0,0.0,0.013,0.0
1,0.12,0.572,0.01,0.063,1.0,0.011,0.033,0.014,0.318,0.114
2,0.268,0.678,0.313,0.98,0.01,0.002,0.217,0.188,0.307,0.529
3,0.666,0.743,0.265,0.186,0.249,0.963,0.403,0.402,0.412,0.634
4,0.593,0.716,0.233,0.524,0.955,0.259,0.531,0.353,0.712,0.627
5,0.543,0.76,0.542,0.915,0.355,0.24,0.491,0.495,0.58,0.634
6,0.701,0.765,0.34,0.904,0.635,0.271,0.464,0.515,0.742,0.691
7,0.717,0.722,0.403,0.386,0.477,0.88,0.555,0.637,0.55,0.775
8,0.019,0.661,0.972,0.449,0.015,0.084,0.142,0.291,0.327,0.377
9,0.624,0.786,0.605,0.777,0.485,0.429,0.632,0.616,0.821,0.76
10,0.683,0.659,0.521,0.639,0.509,0.494,0.613,0.861,0.783,0.816
11,0.686,0.775,0.495,0.471,0.412,0.811,0.614,0.652,0.702,0.801
12,0.719,0.776,0.735,0.612,0.459,0.437,0.677,0.678,0.798,0.699
13,0.755,0.769,0.41,0.49,0.57,0.769,0.685,0.666,0.719,0.782
14,0.693,0.81,0.696,0.591,0.559,0.523,0.705,0.68,0.772,0.747
15,0.72,0.79,0.672,0.572,0.593,0.565,0.755,0.612,0.787,0.801
16,0.726,0.777,0.472,0.46,0.598,0.746,0.682,0.68,0.791,0.799
17,0.73,0.783,0.584,0.668,0.575,0.472,0.675,0.71,0.796,0.731
18,0.719,0.75,0.593,0.643,0.555,0.534,0.706,0.662,0.799,0.787
19,0.758,0.787,0.657,0.582,0.611,0.527,0.69,0.674,0.791,0.759
20,0.711,0.785,0.53,0.613,0.61,0.584,0.744,0.711,0.732,0.77
21,0.725,0.68,0.685,0.56,0.581,0.557,0.687,0.647,0.77,0.797
22,0.668,0.842,0.574,0.604,0.51,0.576,0.732,0.72,0.725,0.699
23,0.741,0.827,0.585,0.623,0.549,0.547,0.741,0.73,0.798,0.748
24,0.72,0.847,0.641,0.575,0.611,0.555,0.742,0.702,0.79,0.762
25,0.736,0.783,0.526,0.496,0.562,0.694,0.774,0.71,0.765,0.778
26,0.767,0.807,0.553,0.481,0.499,0.674,0.761,0.748,0.723,0.792
27,0.771,0.857,0.521,0.503,0.535,0.686,0.768,0.733,0.739,0.711
28,0.724,0.839,0.619,0.6,0.593,0.569,0.715,0.67,0.797,0.767
29,0.737,0.81,0.531,0.563,0.677,0.576,0.697,0.708,0.744,0.802
30,0.761,0.809,0.577,0.558,0.606,0.602,0.732,0.671,0.82,0.746
31,0.722,0.788,0.498,0.537,0.711,0.573,0.737,0.668,0.784,0.805
32,0.674,0.714,0.53,0.493,0.613,0.669,0.716,0.748,0.825,0.838
33,0.736,0.851,0.632,0.5,0.614,0.584,0.775,0.635,0.797,0.772
34,0.74,0.779,0.583,0.526,0.61,0.579,0.757,0.686,0.801,0.805
35,0.786,0.842,0.639,0.543,0.547,0.552,0.722,0.731,0.792,0.679
36,0.729,0.771,0.642,0.572,0.59,0.538,0.691,0.756,0.783,0.809
37,0.737,0.791,0.566,0.492,0.613,0.651,0.698,0.727,0.809,0.823
38,0.773,0.762,0.605,0.543,0.584,0.565,0.744,0.733,0.751,0.745
39,0.747,0.819,0.603,0.563,0.643,0.556,0.729,0.696,0.799,0.678
40,0.741,0.819,0.529,0.48,0.622,0.628,0.762,0.699,0.775,0.81
41,0.77,0.803,0.576,0.574,0.572,0.606,0.751,0.712,0.722,0.801
42,0.717,0.829,0.618,0.57,0.634,0.585,0.734,0.633,0.818,0.635
43,0.729,0.82,0.549,0.544,0.682,0.604,0.736,0.637,0.795,0.807
44,0.755,0.842,0.612,0.544,0.61,0.602,0.735,0.7,0.796,0.741
45,0.776,0.77,0.597,0.545,0.653,0.565,0.748,0.729,0.768,0.774
46,0.748,0.835,0.612,0.452,0.589,0.65,0.719,0.823,0.761,0.701
47,0.722,0.799,0.636,0.524,0.591,0.532,0.715,0.794,0.762,0.808
48,0.774,0.763,0.622,0.507,0.529,0.651,0.772,0.75,0.783,0.811
49,0.758,0.829,0.617,0.502,0.628,0.607,0.716,0.745,0.79,0.774
