,0,1,2,3,4,5,6,7,8,9
0,0.042,0.161,0.013,0.128,0.993,0.026,0.085,0.06,0.248,0.479
1,0.19,0.192,0.1,0.342,0.021,0.009,0.989,0.085,0.629,0.328
2,0.312,0.483,0.975,0.275,0.035,0.023,0.379,0.275,0.522,0.392
3,0.002,0.0,0.996,0.131,0.0,0.0,0.001,0.08,0.0,0.139
4,0.479,0.689,0.267,0.207,0.243,0.952,0.494,0.394,0.636,0.767
5,0.535,0.665,0.928,0.46,0.106,0.089,0.49,0.474,0.624,0.54
6,0.677,0.806,0.391,0.337,0.321,0.904,0.474,0.629,0.678,0.711
7,0.735,0.849,0.514,0.87,0.424,0.354,0.566,0.54,0.739,0.641
8,0.716,0.808,0.827,0.572,0.411,0.28,0.659,0.581,0.694,0.611
9,0.705,0.802,0.787,0.611,0.489,0.395,0.687,0.616,0.764,0.746
10,0.78,0.8,0.584,0.64,0.551,0.469,0.635,0.831,0.774,0.783
11,0.66,0.809,0.758,0.6,0.551,0.436,0.693,0.691,0.786,0.766
12,0.765,0.808,0.744,0.392,0.546,0.541,0.728,0.74,0.804,0.717
13,0.658,0.738,0.524,0.71,0.517,0.543,0.647,0.673,0.798,0.806
14,0.663,0.822,0.736,0.63,0.544,0.473,0.669,0.628,0.8,0.685
15,0.725,0.821,0.619,0.703,0.588,0.496,0.641,0.679,0.767,0.738
16,0.667,0.686,0.736,0.6,0.512,0.473,0.706,0.668,0.82,0.819
17,0.679,0.667,0.528,0.507,0.591,0.748,0.619,0.685,0.783,0.845
18,0.732,0.825,0.701,0.603,0.507,0.336,0.758,0.696,0.862,0.725
19,0.799,0.74,0.555,0.505,0.589,0.699,0.705,0.658,0.723,0.797
20,0.746,0.833,0.526,0.494,0.522,0.707,0.632,0.67,0.794,0.744
21,0.765,0.86,0.538,0.522,0.588,0.699,0.738,0.643,0.731,0.741
22,0.733,0.739,0.655,0.559,0.59,0.504,0.74,0.718,0.811,0.803
23,0.732,0.77,0.664,0.505,0.655,0.527,0.688,0.695,0.813,0.771
24,0.685,0.819,0.609,0.626,0.62,0.486,0.758,0.64,0.782,0.812
25,0.688,0.831,0.483,0.503,0.567,0.696,0.733,0.728,0.798,0.806
26,0.71,0.842,0.623,0.617,0.56,0.586,0.692,0.654,0.796,0.646
27,0.735,0.823,0.655,0.551,0.542,0.582,0.702,0.727,0.786,0.77
28,0.726,0.85,0.547,0.482,0.592,0.677,0.716,0.695,0.843,0.746
29,0.741,0.783,0.565,0.509,0.613,0.672,0.699,0.666,0.809,0.781
30,0.689,0.803,0.624,0.541,0.646,0.554,0.689,0.74,0.803,0.761
31,0.71,0.834,0.593,0.538,0.529,0.673,0.637,0.673,0.824,0.769
32,0.756,0.802,0.553,0.529,0.568,0.687,0.7,0.714,0.813,0.802
33,0.749,0.796,0.527,0.604,0.626,0.606,0.649,0.674,0.808,0.773
34,0.768,0.82,0.512,0.516,0.667,0.641,0.71,0.727,0.799,0.744
35,0.75,0.762,0.623,0.551,0.649,0.567,0.702,0.719,0.836,0.744
36,0.697,0.801,0.606,0.593,0.63,0.506,0.723,0.68,0.802,0.772
37,0.678,0.766,0.662,0.575,0.545,0.547,0.766,0.699,0.787,0.777
38,0.727,0.749,0.552,0.492,0.579,0.668,0.737,0.694,0.782,0.858
39,0.715,0.825,0.512,0.514,0.565,0.679,0.732,0.726,0.802,0.781
40,0.697,0.815,0.612,0.513,0.56,0.663,0.724,0.657,0.821,0.772
41,0.702,0.862,0.621,0.566,0.627,0.538,0.718,0.691,0.854,0.762
42,0.713,0.785,0.564,0.499,0.676,0.618,0.754,0.707,0.829,0.785
43,0.677,0.881,0.589,0.529,0.542,0.648,0.753,0.63,0.826,0.717
44,0.759,0.792,0.619,0.518,0.575,0.615,0.741,0.676,0.796,0.779
45,0.716,0.769,0.636,0.516,0.645,0.535,0.733,0.699,0.814,0.778
46,0.718,0.831,0.632,0.494,0.67,0.581,0.752,0.709,0.777,0.802
47,0.769,0.696,0.635,0.545,0.573,0.544,0.693,0.739,0.794,0.86
48,0.72,0.758,0.584,0.511,0.67,0.596,0.759,0.718,0.81,0.849
49,0.765,0.783,0.571,0.549,0.663,0.644,0.669,0.674,0.825,0.803
