,0,1,2,3,4,5,6,7,8,9
0,0.059,0.013,0.146,0.984,0.0,0.003,0.053,0.083,0.138,0.105
1,0.121,0.145,0.989,0.15,0.001,0.001,0.162,0.165,0.532,0.097
2,0.503,0.703,0.084,0.06,0.444,0.966,0.283,0.292,0.622,0.629
3,0.322,0.533,0.449,0.963,0.156,0.136,0.336,0.365,0.575,0.415
4,0.232,0.641,0.958,0.473,0.095,0.152,0.527,0.42,0.767,0.527
5,0.547,0.663,0.92,0.572,0.22,0.179,0.591,0.474,0.764,0.529
6,0.649,0.6,0.879,0.619,0.397,0.273,0.634,0.521,0.694,0.736
7,0.588,0.798,0.616,0.321,0.449,0.85,0.628,0.639,0.686,0.817
8,0.544,0.611,0.851,0.613,0.361,0.297,0.631,0.611,0.743,0.706
9,0.703,0.745,0.293,0.296,0.411,0.913,0.581,0.482,0.788,0.59
10,0.643,0.795,0.782,0.618,0.458,0.411,0.654,0.676,0.698,0.725
11,0.613,0.759,0.594,0.761,0.474,0.45,0.653,0.634,0.809,0.798
12,0.713,0.748,0.75,0.595,0.549,0.459,0.678,0.58,0.788,0.753
13,0.526,0.599,0.635,0.387,0.515,0.782,0.645,0.705,0.846,0.843
14,0.663,0.68,0.727,0.617,0.552,0.532,0.688,0.671,0.749,0.818
15,0.762,0.847,0.454,0.516,0.57,0.751,0.598,0.689,0.728,0.716
16,0.712,0.742,0.722,0.576,0.592,0.493,0.738,0.527,0.742,0.749
17,0.665,0.724,0.523,0.509,0.517,0.734,0.621,0.727,0.832,0.837
18,0.666,0.648,0.625,0.72,0.334,0.424,0.712,0.75,0.8,0.825
19,0.732,0.853,0.667,0.602,0.582,0.508,0.724,0.685,0.833,0.628
20,0.619,0.803,0.664,0.601,0.567,0.503,0.715,0.749,0.789,0.771
21,0.699,0.753,0.677,0.599,0.495,0.53,0.733,0.789,0.788,0.798
22,0.627,0.795,0.57,0.534,0.593,0.697,0.729,0.736,0.8,0.782
23,0.689,0.847,0.624,0.66,0.593,0.547,0.685,0.651,0.775,0.699
24,0.633,0.824,0.565,0.516,0.652,0.707,0.626,0.73,0.805,0.791
25,0.75,0.793,0.68,0.562,0.525,0.554,0.744,0.66,0.758,0.751
26,0.751,0.774,0.571,0.529,0.616,0.672,0.643,0.701,0.827,0.809
27,0.652,0.783,0.648,0.606,0.594,0.539,0.638,0.712,0.82,0.801
28,0.703,0.764,0.57,0.531,0.696,0.562,0.769,0.684,0.824,0.8
29,0.707,0.79,0.59,0.589,0.645,0.568,0.678,0.764,0.785,0.781
30,0.719,0.737,0.649,0.596,0.627,0.561,0.759,0.699,0.758,0.795
31,0.681,0.669,0.609,0.669,0.534,0.475,0.77,0.608,0.788,0.793
32,0.737,0.77,0.622,0.648,0.545,0.505,0.71,0.752,0.692,0.594
33,0.765,0.794,0.61,0.629,0.487,0.534,0.758,0.595,0.756,0.783
34,0.747,0.799,0.627,0.591,0.597,0.527,0.7,0.752,0.802,0.779
35,0.727,0.83,0.64,0.568,0.615,0.577,0.663,0.702,0.811,0.774
36,0.762,0.867,0.542,0.55,0.626,0.641,0.782,0.742,0.761,0.71
37,0.723,0.726,0.577,0.577,0.641,0.523,0.765,0.721,0.826,0.799
38,0.764,0.855,0.519,0.534,0.615,0.634,0.749,0.761,0.776,0.778
39,0.712,0.71,0.584,0.542,0.62,0.65,0.781,0.708,0.819,0.778
40,0.702,0.774,0.647,0.61,0.621,0.503,0.709,0.675,0.789,0.756
41,0.757,0.795,0.626,0.661,0.553,0.514,0.728,0.64,0.603,0.725
42,0.734,0.812,0.592,0.615,0.661,0.587,0.692,0.727,0.81,0.792
43,0.751,0.79,0.61,0.556,0.63,0.61,0.728,0.711,0.823,0.83
44,0.791,0.753,0.635,0.552,0.611,0.553,0.717,0.722,0.748,0.808
45,0.767,0.835,0.61,0.519,0.544,0.573,0.769,0.779,0.75,0.778
46,0.683,0.737,0.652,0.573,0.609,0.566,0.74,0.726,0.809,0.778
47,0.765,0.766,0.615,0.561,0.633,0.528,0.747,0.725,0.819,0.813
48,0.772,0.777,0.61,0.549,0.622,0.514,0.777,0.713,0.793,0.785
49,0.701,0.776,0.568,0.539,0.662,0.649,0.7,0.742,0.842,0.772
