,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.014,1.0,0.0,0.0,0.0,0.006,0.0
1,0.0,0.013,0.007,1.0,0.0,0.0,0.0,0.0,0.02,0.003
2,0.006,0.056,0.078,0.999,0.0,0.0,0.0,0.008,0.113,0.016
3,0.005,0.145,0.999,0.117,0.0,0.0,0.014,0.016,0.064,0.089
4,0.046,0.447,0.995,0.222,0.004,0.0,0.049,0.155,0.189,0.249
5,0.407,0.373,0.023,0.098,0.021,0.996,0.098,0.132,0.468,0.496
6,0.078,0.644,0.982,0.41,0.032,0.006,0.13,0.288,0.372,0.464
7,0.233,0.691,0.088,0.437,0.99,0.043,0.274,0.26,0.627,0.591
8,0.251,0.677,0.955,0.51,0.116,0.032,0.276,0.454,0.485,0.662
9,0.395,0.685,0.471,0.963,0.167,0.048,0.329,0.462,0.695,0.72
10,0.36,0.622,0.927,0.542,0.139,0.143,0.333,0.513,0.608,0.715
11,0.43,0.653,0.912,0.082,0.24,0.633,0.478,0.494,0.665,0.633
12,0.501,0.74,0.854,0.653,0.248,0.191,0.546,0.592,0.726,0.65
13,0.57,0.741,0.594,0.899,0.315,0.162,0.508,0.588,0.769,0.621
14,0.421,0.675,0.887,0.569,0.297,0.216,0.519,0.619,0.701,0.761
15,0.554,0.743,0.533,0.901,0.317,0.235,0.508,0.646,0.75,0.711
16,0.596,0.719,0.611,0.868,0.359,0.265,0.584,0.592,0.776,0.729
17,0.667,0.774,0.373,0.232,0.917,0.653,0.612,0.508,0.727,0.783
18,0.51,0.776,0.794,0.653,0.458,0.295,0.608,0.668,0.799,0.804
19,0.579,0.693,0.619,0.851,0.372,0.278,0.525,0.639,0.731,0.75
20,0.687,0.778,0.393,0.792,0.469,0.517,0.59,0.607,0.773,0.746
21,0.626,0.783,0.834,0.578,0.4,0.327,0.584,0.543,0.716,0.774
22,0.663,0.742,0.433,0.428,0.511,0.828,0.642,0.608,0.75,0.792
23,0.734,0.808,0.589,0.213,0.393,0.899,0.602,0.545,0.743,0.721
24,0.652,0.772,0.756,0.302,0.421,0.727,0.673,0.653,0.748,0.734
25,0.649,0.74,0.601,0.259,0.369,0.893,0.553,0.598,0.725,0.771
26,0.628,0.735,0.786,0.594,0.475,0.378,0.646,0.671,0.819,0.744
27,0.617,0.735,0.788,0.55,0.48,0.413,0.634,0.655,0.742,0.766
28,0.551,0.691,0.817,0.598,0.41,0.39,0.642,0.638,0.787,0.772
29,0.682,0.818,0.506,0.44,0.491,0.807,0.653,0.689,0.68,0.817
30,0.62,0.738,0.777,0.62,0.477,0.358,0.663,0.694,0.797,0.707
31,0.629,0.783,0.439,0.455,0.455,0.826,0.707,0.647,0.766,0.824
32,0.649,0.767,0.823,0.552,0.405,0.377,0.629,0.64,0.771,0.733
33,0.551,0.738,0.596,0.801,0.459,0.419,0.548,0.703,0.771,0.774
34,0.603,0.762,0.799,0.611,0.465,0.376,0.649,0.624,0.806,0.737
35,0.661,0.808,0.747,0.636,0.485,0.399,0.664,0.702,0.775,0.706
36,0.645,0.765,0.783,0.584,0.478,0.384,0.657,0.678,0.786,0.781
37,0.636,0.8,0.773,0.605,0.469,0.427,0.62,0.694,0.762,0.742
38,0.65,0.789,0.561,0.79,0.457,0.403,0.665,0.676,0.782,0.69
39,0.624,0.736,0.612,0.781,0.511,0.401,0.612,0.648,0.755,0.697
40,0.63,0.733,0.784,0.589,0.532,0.429,0.639,0.612,0.788,0.748
41,0.663,0.772,0.583,0.74,0.515,0.436,0.654,0.65,0.755,0.795
42,0.618,0.759,0.53,0.776,0.464,0.41,0.655,0.721,0.779,0.756
43,0.631,0.773,0.779,0.542,0.514,0.447,0.674,0.651,0.764,0.772
44,0.664,0.757,0.804,0.607,0.478,0.377,0.665,0.601,0.762,0.711
45,0.646,0.712,0.607,0.784,0.537,0.329,0.543,0.661,0.803,0.723
46,0.672,0.727,0.825,0.588,0.41,0.375,0.544,0.572,0.752,0.788
47,0.681,0.738,0.774,0.54,0.534,0.43,0.713,0.715,0.774,0.794
48,0.642,0.74,0.768,0.561,0.514,0.407,0.671,0.679,0.835,0.674
49,0.689,0.789,0.606,0.399,0.832,0.512,0.673,0.664,0.789,0.757
