,0,1,2,3,4,5,6,7,8,9
0,0.0,0.009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
1,0.0,0.021,1.0,0.007,0.0,0.0,0.0,0.0,0.008,0.003
2,0.054,0.153,0.002,0.004,0.001,1.0,0.063,0.009,0.226,0.199
3,0.185,0.267,0.013,0.017,0.004,0.999,0.061,0.018,0.29,0.296
4,0.143,0.401,0.017,0.212,0.997,0.001,0.06,0.031,0.266,0.336
5,0.241,0.504,0.052,0.057,0.022,0.998,0.185,0.047,0.362,0.423
6,0.128,0.494,0.99,0.295,0.008,0.011,0.12,0.203,0.373,0.585
7,0.357,0.651,0.39,0.057,0.994,0.14,0.227,0.17,0.437,0.503
8,0.34,0.695,0.475,0.976,0.104,0.03,0.206,0.306,0.664,0.564
9,0.467,0.71,0.204,0.244,0.149,0.951,0.392,0.251,0.651,0.676
10,0.41,0.692,0.492,0.966,0.157,0.071,0.28,0.447,0.66,0.658
11,0.529,0.669,0.257,0.584,0.952,0.181,0.491,0.436,0.75,0.757
12,0.606,0.697,0.294,0.356,0.297,0.914,0.505,0.481,0.656,0.699
13,0.537,0.706,0.547,0.923,0.358,0.198,0.463,0.574,0.745,0.752
14,0.644,0.846,0.43,0.75,0.367,0.311,0.584,0.888,0.751,0.733
15,0.631,0.759,0.402,0.44,0.406,0.854,0.568,0.569,0.734,0.761
16,0.605,0.79,0.39,0.372,0.387,0.879,0.576,0.509,0.721,0.781
17,0.575,0.764,0.875,0.562,0.345,0.227,0.48,0.618,0.775,0.756
18,0.617,0.791,0.847,0.682,0.358,0.322,0.571,0.609,0.684,0.716
19,0.648,0.799,0.42,0.497,0.457,0.816,0.688,0.629,0.782,0.757
20,0.571,0.722,0.867,0.638,0.387,0.306,0.563,0.587,0.695,0.731
21,0.695,0.795,0.47,0.387,0.439,0.838,0.718,0.642,0.741,0.748
22,0.705,0.789,0.367,0.656,0.876,0.326,0.537,0.586,0.766,0.773
23,0.571,0.744,0.845,0.634,0.449,0.344,0.571,0.614,0.785,0.777
24,0.558,0.763,0.861,0.585,0.351,0.297,0.588,0.593,0.754,0.736
25,0.681,0.824,0.427,0.396,0.488,0.853,0.658,0.665,0.743,0.778
26,0.639,0.734,0.84,0.583,0.421,0.388,0.571,0.678,0.812,0.768
27,0.68,0.771,0.47,0.758,0.504,0.558,0.63,0.694,0.803,0.805
28,0.654,0.768,0.8,0.667,0.446,0.316,0.561,0.663,0.733,0.758
29,0.707,0.818,0.438,0.433,0.53,0.814,0.705,0.66,0.761,0.822
30,0.636,0.773,0.848,0.563,0.448,0.33,0.596,0.633,0.775,0.807
31,0.705,0.744,0.46,0.607,0.85,0.402,0.627,0.64,0.817,0.809
32,0.635,0.794,0.816,0.612,0.49,0.371,0.66,0.666,0.801,0.804
33,0.741,0.792,0.5,0.744,0.491,0.522,0.626,0.695,0.77,0.765
34,0.649,0.801,0.77,0.62,0.483,0.416,0.662,0.707,0.801,0.742
35,0.715,0.784,0.446,0.722,0.575,0.525,0.656,0.722,0.757,0.827
36,0.685,0.739,0.456,0.608,0.857,0.387,0.573,0.629,0.803,0.837
37,0.649,0.776,0.623,0.767,0.511,0.379,0.629,0.749,0.771,0.753
38,0.565,0.803,0.513,0.53,0.44,0.778,0.67,0.596,0.805,0.771
39,0.676,0.798,0.513,0.52,0.477,0.757,0.657,0.683,0.796,0.812
40,0.648,0.764,0.836,0.535,0.491,0.39,0.665,0.64,0.76,0.762
41,0.636,0.801,0.803,0.599,0.527,0.372,0.59,0.617,0.754,0.798
42,0.707,0.79,0.788,0.617,0.524,0.383,0.665,0.619,0.727,0.81
43,0.622,0.813,0.584,0.759,0.45,0.442,0.635,0.71,0.806,0.797
44,0.639,0.752,0.511,0.411,0.54,0.797,0.654,0.688,0.794,0.842
45,0.673,0.79,0.786,0.594,0.528,0.399,0.655,0.65,0.802,0.756
46,0.655,0.837,0.55,0.798,0.511,0.365,0.6,0.632,0.778,0.778
47,0.678,0.787,0.721,0.639,0.48,0.477,0.614,0.731,0.826,0.769
48,0.713,0.762,0.605,0.762,0.545,0.416,0.625,0.675,0.755,0.812
49,0.644,0.771,0.491,0.406,0.45,0.83,0.675,0.641,0.806,0.75
