,acc,loss
0,0.4426,0.10036019451141358
1,0.58966,0.07302278980553151
2,0.65966,0.06146044878065586
3,0.71268,0.05189156469762325
4,0.75388,0.044296370404213664
5,0.79522,0.03695899129882455
6,0.829,0.030707679152190685
7,0.86248,0.02506739082755521
8,0.8859,0.02044644300142303
9,0.90824,0.016367171705812218
10,0.9239,0.013721300112856553
11,0.93276,0.012000759588798973
12,0.9423,0.010505161852750461
13,0.94896,0.009133204383058473
14,0.95356,0.00841443857543287
15,0.95788,0.007589704160805559
16,0.95968,0.007340842261963116
17,0.9627,0.006858847974956734
18,0.96284,0.0068443101045148795
19,0.9678,0.006059075159193107
20,0.96844,0.00600894130423585
21,0.97128,0.005162293248885348
22,0.97008,0.005520495682863038
23,0.97234,0.005273451375294317
24,0.97416,0.004943788308203402
25,0.97316,0.00513065825587164
26,0.97644,0.0045082401538955675
27,0.97634,0.004599042723263492
28,0.97686,0.004575519658036928
29,0.97782,0.0044542468901185295
30,0.97844,0.004242387462635086
31,0.97938,0.004029975052154569
32,0.97802,0.004439092354909253
33,0.97952,0.0044093543169459095
34,0.98124,0.0034847814130070766
35,0.98238,0.0035743285351694477
36,0.98168,0.0036624299758308484
37,0.98294,0.0034644212462615767
38,0.98288,0.0035420589500571712
39,0.98276,0.0035171717186370643
40,0.98278,0.0034581310280643513
41,0.98358,0.0033296406996170184
42,0.98456,0.003211569423815108
43,0.9842,0.003244282628105142
44,0.98366,0.003453065158441178
45,0.98594,0.0029022785100607223
46,0.98554,0.003056051926386938
47,0.98544,0.0031454952387375544
48,0.98486,0.0030556097578120682
49,0.98568,0.002956704710382163
