,acc,loss
0,0.45186,0.09709493003726005
1,0.60206,0.07041117278218269
2,0.67018,0.059525217735469343
3,0.72186,0.05030935537844896
4,0.76126,0.04306444949992001
5,0.80094,0.03609717663243413
6,0.83434,0.02983046968355775
7,0.86338,0.024626911307051778
8,0.88764,0.02029503451101482
9,0.9063,0.016838072145115585
10,0.92306,0.01384272816425655
11,0.93322,0.011906711351347622
12,0.94382,0.010232366830571554
13,0.94818,0.009378072909060866
14,0.95416,0.008437958242604219
15,0.95724,0.007626279787047534
16,0.9618,0.007013548386727343
17,0.96524,0.006472661679245066
18,0.96526,0.006471827958943323
19,0.96692,0.005971262795350631
20,0.96836,0.005683912130989975
21,0.97178,0.0052917143912482425
22,0.9717,0.00537832518773168
23,0.97348,0.00502803691263598
24,0.97358,0.005110220517278777
25,0.97398,0.004975107727677932
26,0.97786,0.004343076909200572
27,0.97704,0.004436386653192167
28,0.9771,0.004482717569453125
29,0.97794,0.004189973548179732
30,0.979,0.004174440597578505
31,0.9788,0.004055073768008742
32,0.97874,0.003954695779083822
33,0.98034,0.003861277391906866
34,0.98236,0.0034917469242579206
35,0.9816,0.0035356903450500386
36,0.98098,0.003985030788705295
37,0.98352,0.0033942539688093165
38,0.98234,0.003450261021183919
39,0.98192,0.0035203341204237087
40,0.9828,0.003638331980616805
41,0.98414,0.0030848910323542826
42,0.98436,0.0032789430113873714
43,0.98376,0.0032773034857924016
44,0.9838,0.003256082285912164
45,0.98478,0.003041401528461883
46,0.98434,0.0032304744371941785
47,0.98562,0.0028681389239315967
48,0.98552,0.0030529051439102763
49,0.98456,0.0031807320545923327
