,0,1,2,3,4,5,6,7,8,9
0,0.422,0.667,0.523,0.137,0.529,0.722,0.578,0.629,0.566,0.648
1,0.738,0.705,0.474,0.499,0.444,0.584,0.713,0.615,0.809,0.558
2,0.786,0.775,0.565,0.151,0.624,0.647,0.879,0.624,0.79,0.712
3,0.664,0.724,0.572,0.357,0.698,0.664,0.835,0.594,0.827,0.647
4,0.773,0.839,0.598,0.449,0.585,0.641,0.81,0.732,0.76,0.742
5,0.716,0.787,0.526,0.584,0.552,0.633,0.71,0.759,0.8,0.834
6,0.834,0.738,0.54,0.412,0.574,0.729,0.695,0.701,0.734,0.824
7,0.716,0.744,0.582,0.436,0.546,0.671,0.814,0.734,0.778,0.826
8,0.648,0.823,0.529,0.591,0.651,0.589,0.751,0.746,0.791,0.787
9,0.665,0.773,0.618,0.426,0.664,0.606,0.741,0.729,0.846,0.781
10,0.786,0.776,0.521,0.42,0.655,0.617,0.819,0.696,0.815,0.756
11,0.722,0.836,0.591,0.512,0.622,0.551,0.823,0.689,0.782,0.794
12,0.742,0.771,0.543,0.477,0.612,0.603,0.793,0.739,0.782,0.838
13,0.764,0.782,0.544,0.427,0.679,0.561,0.831,0.735,0.734,0.704
14,0.759,0.791,0.594,0.483,0.605,0.608,0.785,0.768,0.743,0.763
15,0.683,0.747,0.621,0.513,0.603,0.563,0.75,0.716,0.835,0.803
16,0.769,0.764,0.557,0.382,0.593,0.619,0.815,0.701,0.825,0.744
17,0.705,0.76,0.57,0.591,0.655,0.516,0.756,0.729,0.775,0.814
18,0.717,0.784,0.472,0.484,0.703,0.553,0.757,0.764,0.786,0.771
19,0.696,0.803,0.613,0.436,0.652,0.579,0.777,0.744,0.719,0.716
20,0.684,0.826,0.559,0.484,0.631,0.495,0.854,0.701,0.779,0.786
21,0.772,0.813,0.547,0.514,0.536,0.569,0.835,0.719,0.72,0.794
22,0.702,0.809,0.624,0.461,0.595,0.58,0.724,0.767,0.733,0.762
23,0.778,0.752,0.578,0.425,0.691,0.603,0.773,0.665,0.772,0.81
24,0.753,0.812,0.542,0.484,0.679,0.568,0.699,0.741,0.775,0.809
25,0.727,0.779,0.51,0.477,0.614,0.663,0.736,0.752,0.76,0.793
26,0.751,0.769,0.491,0.501,0.684,0.62,0.738,0.755,0.805,0.8
27,0.761,0.829,0.54,0.489,0.606,0.586,0.759,0.704,0.794,0.725
28,0.706,0.749,0.59,0.362,0.589,0.458,0.815,0.715,0.848,0.85
29,0.675,0.836,0.631,0.421,0.691,0.574,0.736,0.651,0.8,0.759
30,0.669,0.809,0.581,0.351,0.73,0.597,0.782,0.748,0.8,0.791
31,0.718,0.748,0.526,0.496,0.558,0.655,0.743,0.68,0.785,0.842
32,0.724,0.813,0.557,0.393,0.661,0.639,0.752,0.738,0.824,0.788
33,0.75,0.789,0.491,0.425,0.667,0.581,0.818,0.711,0.766,0.806
34,0.729,0.808,0.572,0.486,0.662,0.615,0.726,0.699,0.758,0.797
35,0.742,0.793,0.581,0.454,0.553,0.587,0.78,0.81,0.777,0.821
36,0.718,0.819,0.527,0.349,0.616,0.659,0.783,0.722,0.838,0.795
37,0.722,0.79,0.471,0.482,0.687,0.579,0.8,0.767,0.726,0.775
38,0.582,0.834,0.594,0.45,0.678,0.552,0.723,0.734,0.796,0.817
39,0.733,0.818,0.543,0.46,0.653,0.645,0.676,0.768,0.765,0.788
40,0.689,0.771,0.624,0.439,0.59,0.614,0.729,0.773,0.781,0.83
41,0.78,0.794,0.54,0.501,0.548,0.536,0.77,0.779,0.792,0.831
42,0.8,0.814,0.483,0.563,0.652,0.542,0.711,0.716,0.773,0.798
43,0.759,0.809,0.522,0.536,0.623,0.531,0.822,0.69,0.738,0.788
44,0.771,0.79,0.541,0.397,0.598,0.696,0.765,0.729,0.738,0.827
45,0.788,0.787,0.556,0.451,0.621,0.569,0.783,0.74,0.8,0.809
46,0.784,0.8,0.619,0.467,0.546,0.578,0.796,0.789,0.712,0.814
47,0.6,0.779,0.543,0.485,0.577,0.538,0.796,0.732,0.821,0.828
48,0.667,0.776,0.595,0.457,0.656,0.652,0.754,0.708,0.84,0.778
49,0.722,0.826,0.559,0.453,0.642,0.656,0.772,0.726,0.782,0.828
