,0,1,2,3,4,5,6,7,8,9
0,0.607,0.675,0.105,0.123,0.428,0.636,0.622,0.674,0.785,0.744
1,0.699,0.666,0.612,0.376,0.466,0.614,0.746,0.512,0.722,0.757
2,0.802,0.797,0.594,0.415,0.285,0.598,0.597,0.794,0.758,0.772
3,0.702,0.829,0.554,0.436,0.557,0.61,0.788,0.718,0.862,0.757
4,0.817,0.824,0.53,0.411,0.609,0.648,0.848,0.67,0.716,0.699
5,0.794,0.778,0.556,0.417,0.628,0.604,0.744,0.788,0.829,0.805
6,0.788,0.76,0.509,0.495,0.658,0.524,0.851,0.721,0.775,0.829
7,0.757,0.786,0.556,0.394,0.668,0.636,0.792,0.772,0.824,0.785
8,0.758,0.719,0.537,0.467,0.704,0.588,0.727,0.785,0.79,0.805
9,0.688,0.779,0.605,0.488,0.693,0.558,0.778,0.691,0.798,0.786
10,0.721,0.816,0.542,0.47,0.683,0.555,0.778,0.764,0.8,0.748
11,0.758,0.741,0.536,0.543,0.672,0.489,0.788,0.683,0.785,0.808
12,0.684,0.797,0.509,0.457,0.713,0.668,0.653,0.71,0.815,0.791
13,0.746,0.757,0.478,0.503,0.706,0.573,0.847,0.649,0.809,0.807
14,0.754,0.82,0.52,0.427,0.701,0.583,0.753,0.694,0.806,0.819
15,0.706,0.761,0.586,0.488,0.655,0.635,0.752,0.68,0.829,0.806
16,0.716,0.741,0.596,0.427,0.639,0.61,0.767,0.651,0.847,0.806
17,0.805,0.81,0.579,0.493,0.608,0.6,0.66,0.736,0.798,0.743
18,0.77,0.798,0.552,0.421,0.716,0.517,0.75,0.731,0.821,0.79
19,0.692,0.788,0.504,0.519,0.585,0.627,0.771,0.733,0.846,0.757
20,0.761,0.83,0.518,0.428,0.691,0.614,0.76,0.719,0.834,0.769
21,0.691,0.824,0.595,0.358,0.714,0.582,0.804,0.639,0.82,0.748
22,0.749,0.79,0.625,0.41,0.688,0.491,0.71,0.715,0.818,0.789
23,0.743,0.736,0.488,0.511,0.725,0.632,0.702,0.706,0.726,0.808
24,0.751,0.817,0.62,0.508,0.665,0.563,0.731,0.678,0.79,0.772
25,0.72,0.812,0.531,0.458,0.678,0.627,0.794,0.728,0.755,0.818
26,0.724,0.781,0.575,0.409,0.705,0.576,0.765,0.737,0.839,0.726
27,0.767,0.764,0.497,0.406,0.642,0.654,0.748,0.764,0.819,0.801
28,0.727,0.776,0.588,0.389,0.646,0.583,0.845,0.69,0.813,0.808
29,0.765,0.805,0.537,0.534,0.62,0.6,0.67,0.724,0.811,0.807
30,0.734,0.753,0.588,0.439,0.618,0.608,0.709,0.765,0.801,0.78
31,0.819,0.837,0.502,0.369,0.628,0.642,0.759,0.726,0.762,0.794
32,0.723,0.824,0.545,0.409,0.685,0.568,0.796,0.618,0.804,0.764
33,0.712,0.759,0.532,0.472,0.666,0.583,0.735,0.737,0.829,0.832
34,0.786,0.792,0.524,0.371,0.587,0.645,0.825,0.669,0.764,0.784
35,0.73,0.751,0.613,0.446,0.593,0.562,0.739,0.674,0.835,0.751
36,0.645,0.836,0.546,0.442,0.603,0.676,0.729,0.673,0.772,0.758
37,0.718,0.828,0.579,0.488,0.635,0.636,0.747,0.693,0.785,0.787
38,0.693,0.851,0.529,0.472,0.68,0.53,0.714,0.785,0.794,0.791
39,0.713,0.821,0.587,0.439,0.66,0.593,0.708,0.688,0.829,0.801
40,0.747,0.806,0.561,0.426,0.697,0.538,0.77,0.722,0.826,0.838
41,0.762,0.813,0.552,0.427,0.62,0.571,0.824,0.745,0.81,0.766
42,0.798,0.829,0.64,0.447,0.616,0.563,0.66,0.72,0.776,0.708
43,0.749,0.779,0.539,0.439,0.644,0.578,0.823,0.752,0.791,0.813
44,0.752,0.825,0.544,0.511,0.694,0.504,0.76,0.73,0.808,0.793
45,0.781,0.828,0.569,0.476,0.653,0.495,0.76,0.744,0.844,0.747
46,0.757,0.816,0.563,0.538,0.707,0.49,0.685,0.733,0.81,0.78
47,0.745,0.842,0.554,0.36,0.65,0.616,0.752,0.812,0.814,0.736
48,0.727,0.768,0.532,0.439,0.687,0.577,0.778,0.713,0.814,0.826
49,0.721,0.79,0.52,0.38,0.72,0.596,0.763,0.749,0.879,0.792
